Order Date,Table Name,Sales,,,,,,,,,,
01-01-2000,Orders3,268,,,,,,,,,,
02-01-2000,Orders3,14722,,,,,,,,,,
03-01-2000,Orders3,10477,,,,,,,,,,
04-01-2000,Orders2,14098,,,,,,,,,,
05-01-2000,Orders,14797,,,,,,,,,,
06-01-2000,Orders2,2548,,,,,,,,,,
07-01-2000,Orders3,1461,,,,,,,,,,
08-01-2000,Orders3,3273,,,,,,,,,,
09-01-2000,Orders1,3983,,,,,,,,,,
10-01-2000,Orders3,14608,,,,,,,,,,
11-01-2000,Orders3,5103,,,,,,,,,,
12-01-2000,Orders2,12102,,,,,,,,,,
13-01-2000,Orders3,7466,,,,,,,,,,
14-01-2000,Orders2,12492,,,,,,,,,,
15-01-2000,Orders1,5454,,,,,,,,,,
16-01-2000,Orders3,13157,,,,,,,,,,
17-01-2000,Orders3,9046,,,,,,,,,,
18-01-2000,Orders,13522,,,,,,,,,,
19-01-2000,Orders1,11641,,,,,,,,,,
20-01-2000,Orders,3394,,,,,,,,,,
21-01-2000,Orders1,10005,,,,,,,,,,
22-01-2000,Orders1,13548,,,,,,,,,,
23-01-2000,Orders2,14429,,,,,,,,,,
24-01-2000,Orders1,2230,,,,,,,,,,
25-01-2000,Orders3,5091,,,,,,,,,,
26-01-2000,Orders1,8135,,,,,,,,,,
27-01-2000,Orders2,6441,,,,,,,,,,
28-01-2000,Orders1,10043,,,,,,,,,,
29-01-2000,Orders2,1105,,,,,,,,,,
30-01-2000,Orders2,1370,,,,,,,,,,
31-01-2000,Orders1,1842,,,,,,,,,,
01-02-2000,Orders3,13927,,,,,,,,,,
02-02-2000,Orders,4051,,,,,,,,,,
03-02-2000,Orders,7134,,,,,,,,,,
04-02-2000,Orders1,6910,,,,,,,,,,
05-02-2000,Orders1,3265,,,,,,,,,,
06-02-2000,Orders1,3312,,,,,,,,,,
07-02-2000,Orders,3598,,,,,,,,,,
08-02-2000,Orders2,3441,,,,,,,,,,
09-02-2000,Orders3,7256,,,,,,,,,,
10-02-2000,Orders,14599,,,,,,,,,,
11-02-2000,Orders,3402,,,,,,,,,,
12-02-2000,Orders3,368,,,,,,,,,,
13-02-2000,Orders3,11452,,,,,,,,,,
14-02-2000,Orders,206,,,,,,,,,,
15-02-2000,Orders2,5618,,,,,,,,,,
16-02-2000,Orders,5520,,,,,,,,,,
17-02-2000,Orders,3366,,,,,,,,,,
18-02-2000,Orders1,1078,,,,,,,,,,
19-02-2000,Orders1,3628,,,,,,,,,,
20-02-2000,Orders,11033,,,,,,,,,,
21-02-2000,Orders3,8211,,,,,,,,,,
22-02-2000,Orders1,4817,,,,,,,,,,
23-02-2000,Orders2,6159,,,,,,,,,,
24-02-2000,Orders,2484,,,,,,,,,,
25-02-2000,Orders1,3678,,,,,,,,,,
26-02-2000,Orders2,10741,,,,,,,,,,
27-02-2000,Orders3,12184,,,,,,,,,,
28-02-2000,Orders1,3417,,,,,,,,,,
29-02-2000,Orders2,11367,,,,,,,,,,
01-03-2000,Orders3,8491,,,,,,,,,,
02-03-2000,Orders1,5851,,,,,,,,,,
03-03-2000,Orders3,10645,,,,,,,,,,
04-03-2000,Orders2,294,,,,,,,,,,
05-03-2000,Orders,6315,,,,,,,,,,
06-03-2000,Orders2,6908,,,,,,,,,,
07-03-2000,Orders1,3801,,,,,,,,,,
08-03-2000,Orders2,694,,,,,,,,,,
09-03-2000,Orders3,1217,,,,,,,,,,
10-03-2000,Orders1,6651,,,,,,,,,,
11-03-2000,Orders3,3461,,,,,,,,,,
12-03-2000,Orders2,11798,,,,,,,,,,
13-03-2000,Orders2,8622,,,,,,,,,,
14-03-2000,Orders1,10679,,,,,,,,,,
15-03-2000,Orders2,12037,,,,,,,,,,
16-03-2000,Orders1,2926,,,,,,,,,,
17-03-2000,Orders3,5964,,,,,,,,,,
18-03-2000,Orders,14779,,,,,,,,,,
19-03-2000,Orders3,12453,,,,,,,,,,
20-03-2000,Orders1,4424,,,,,,,,,,
21-03-2000,Orders,2120,,,,,,,,,,
22-03-2000,Orders2,10330,,,,,,,,,,
23-03-2000,Orders,14322,,,,,,,,,,
